Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Food Waste Sector,Units,2016,2017,2018,point,lat,lng
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),270,Gambia,HHS,KG,,,,102.69451,13.443182,-15.310139
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),270,Gambia,OOHC,KG,,,,27.64812,13.443182,-15.310139
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),270,Gambia,RTL,KG,,,,15.64026,13.443182,-15.310139
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),275,State of Palestine,HHS,KG,,,,100.6945,31.9522,35.2332
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),275,State of Palestine,OOHC,KG,,,,27.64795,31.9522,35.2332
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),275,State of Palestine,RTL,KG,,,,15.64016,31.9522,35.2332
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),276,Germany,HHS,KG,,,,74.99996,51.165691,10.451526
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),276,Germany,OOHC,KG,,,,20.57583,51.165691,10.451526
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),276,Germany,RTL,KG,,,,5.96577,51.165691,10.451526
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),288,Ghana,HHS,KG,,,,84.00762,7.946527,-1.023194
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),288,Ghana,OOHC,KG,,,,27.64811,7.946527,-1.023194
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),288,Ghana,RTL,KG,,,,15.64025,7.946527,-1.023194
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),292,Gibraltar,HHS,KG,,,,84.25738,36.137741,-5.345374
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),292,Gibraltar,OOHC,KG,,,,25.56587,36.137741,-5.345374
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),292,Gibraltar,RTL,KG,,,,12.80903,36.137741,-5.345374
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),296,Kiribati,HHS,KG,,,,91.00999,-3.370417,-168.734039
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),296,Kiribati,OOHC,KG,,,,27.64619,-3.370417,-168.734039
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),296,Kiribati,RTL,KG,,,,15.63916,-3.370417,-168.734039
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),300,Greece,HHS,KG,,,,141.69119,39.074208,21.824312
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),300,Greece,OOHC,KG,,,,25.57054,39.074208,21.824312
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),300,Greece,RTL,KG,,,,7.38358,39.074208,21.824312
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),304,Greenland,HHS,KG,,,,73.7409,71.706936,-42.604303
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),304,Greenland,OOHC,KG,,,,25.58847,71.706936,-42.604303
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),304,Greenland,RTL,KG,,,,12.82035,71.706936,-42.604303
